canonical_id,name,security_level,implementation_type,disposition,execution_eligibility,policy_route,approval_mode,required_controls
001,Banking OS,HIGH,INTEGRATION,REFRAME,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,POLICY_DEPENDENT,pillar_policy;actor_authorization;tenant_scope;audit;connector_scope
002,Vault-OS,CRITICAL,SHARED_SERVICE,REFRAME,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,EXPLICIT_APPROVAL_REQUIRED,pillar_policy;actor_authorization;tenant_scope;audit;explicit_approval
003,Tax-OS,HIGH,SHARED_SERVICE,REFRAME,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,POLICY_DEPENDENT,pillar_policy;actor_authorization;tenant_scope;audit
004,Currency-Forge OS,CRITICAL,R&D,R&D,RESEARCH_ONLY,PILLARS_OS,EXPLICIT_APPROVAL_REQUIRED,pillar_policy;actor_authorization;tenant_scope;audit;explicit_approval;research_boundary
005,Investment-Sweep OS,HIGH,AUTOMATION,REFRAME,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,POLICY_DEPENDENT,pillar_policy;actor_authorization;tenant_scope;audit;bounded_automation
006,Audit-Vigil OS,CRITICAL,SHARED_SERVICE,KEEP,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,EXPLICIT_APPROVAL_REQUIRED,pillar_policy;actor_authorization;tenant_scope;audit;explicit_approval
007,Profit-Extraction OS,HIGH,POLICY,REFRAME,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,POLICY_DEPENDENT,pillar_policy;actor_authorization;tenant_scope;audit
008,Capital-Allocation OS,HIGH,SHARED_SERVICE,KEEP,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,POLICY_DEPENDENT,pillar_policy;actor_authorization;tenant_scope;audit
009,Equity-Capture OS,HIGH,SHARED_SERVICE,REFRAME,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,POLICY_DEPENDENT,pillar_policy;actor_authorization;tenant_scope;audit
010,Liquidity-Pool OS,CRITICAL,SHARED_SERVICE,REFRAME,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,EXPLICIT_APPROVAL_REQUIRED,pillar_policy;actor_authorization;tenant_scope;audit;explicit_approval
011,Asset-Harden OS,HIGH,POLICY,REFRAME,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,POLICY_DEPENDENT,pillar_policy;actor_authorization;tenant_scope;audit
012,Director-Loan OS,HIGH,POLICY,REFRAME,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,POLICY_DEPENDENT,pillar_policy;actor_authorization;tenant_scope;audit
013,Offshore-Shield OS,CRITICAL,POLICY,REFRAME,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,EXPLICIT_APPROVAL_REQUIRED,pillar_policy;actor_authorization;tenant_scope;audit;explicit_approval
014,Fiat-Hedge OS,CRITICAL,SHARED_SERVICE,REFRAME,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,EXPLICIT_APPROVAL_REQUIRED,pillar_policy;actor_authorization;tenant_scope;audit;explicit_approval
015,Credit-Score OS,HIGH,DATA_PRODUCT,REFRAME,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,POLICY_DEPENDENT,pillar_policy;actor_authorization;tenant_scope;audit
016,Debt-Weaponization OS,HIGH,RETIRED_REFRAMED,REFRAME,CANONICAL_REFRAME_ONLY,PILLARS_OS,POLICY_DEPENDENT,pillar_policy;actor_authorization;tenant_scope;audit;canonical_reframe_only
017,Medici-Ledger OS,CRITICAL,CORE,REFRAME,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,EXPLICIT_APPROVAL_REQUIRED,pillar_policy;actor_authorization;tenant_scope;audit;explicit_approval
018,Wealth-Persistence OS,HIGH,POLICY,KEEP,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,POLICY_DEPENDENT,pillar_policy;actor_authorization;tenant_scope;audit
019,Arbitrage OS,HIGH,DATA_PRODUCT,REFRAME,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,POLICY_DEPENDENT,pillar_policy;actor_authorization;tenant_scope;audit
