pillar_id,name,source_statement,suggested_classification,approved_classification,implementation_domain,safety_action,owner,canonical_interpretation,decision_notes
001,Automated API Split,"Mandatory 40/40/20 sweep of all incoming capital: 40% to high-growth R&D, 40% to the Fortress Vault, 20% for operational oxygen.",POLICY,UNREVIEWED,TBD,NONE,TBD,,
002,Outsider DNA,Explicitly reject traditional competitive routes; utilize asymmetric entry points where incumbents cannot pivot.,KEEP,UNREVIEWED,TBD,NONE,TBD,,
003,Fiscal Weaponization,Capital is not for savings; it is a kinetic force used to crush market friction and acquire chokepoints.,POLICY,UNREVIEWED,TBD,NONE,TBD,,
004,Capital Compounding,"Apply the 8th wonder principle to code modules and network effects, ensuring growth is recursive.",TECHNICAL,UNREVIEWED,TBD,NONE,TBD,,
005,Liquidity Primacy,"In high-volatility environments (ZAR), cash and liquid assets are the primary offensive tools for distressed asset acquisition.",KEEP,UNREVIEWED,TBD,NONE,TBD,,
006,Asset Hardening,"Systematically transition digital profits into physical atoms—Jane Furse land, solar arrays, and mineral rights.",KEEP,UNREVIEWED,TBD,NONE,TBD,,
007,Portfolio Asymmetry,Only engage in bets with capped downside and 10x-to-100x theoretical upside.,KEEP,UNREVIEWED,TBD,NONE,TBD,,
008,War-Chest Preservation,Zero-leakage protocol; every operational cent must be audited against systemic ROI on a weekly basis.,KEEP,UNREVIEWED,TBD,NONE,TBD,,
009,Yield Optimization,Maximize regional ROI by bypassing all 3rd party middleman fees in SADC commerce.,KEEP,UNREVIEWED,TBD,NONE,TBD,,
010,Arbitrage Mastery,"Identify and exploit price, time, and jurisdiction gaps across the Empire's global nodes.",KEEP,UNREVIEWED,TBD,NONE,TBD,,
011,Economic Moat Construction,Every new subsidiary must build a technical or regulatory moat within 90 days of initialization.,KEEP,UNREVIEWED,TBD,NONE,TBD,,
012,Capital Reinvestment,Profit is fuel; recursive reinvestment into automation takes priority over Regency dividends.,TECHNICAL,UNREVIEWED,TBD,NONE,TBD,,
013,Director-Loan Recycling,Utilize internal lending structures to fund R&D with 0% tax drag and maximum capital velocity.,POLICY,UNREVIEWED,TBD,NONE,TBD,,
014,Fiat Hedging,Absolute decoupling from the Rand; utilize Gold-backed Dalizebo Credits (DZC) for internal value storage.,KEEP,UNREVIEWED,TBD,NONE,TBD,,
015,Equity Capture,Prioritize ownership and equity over employment or commission-based models in all partnerships.,POLICY,UNREVIEWED,TBD,NONE,TBD,,
016,Resource Primacy,"Direct control over raw inputs—energy generation, data streams, and mineral rights.",TECHNICAL,UNREVIEWED,TBD,NONE,TBD,,
017,Toll-Gate Extraction,Monetize competitor rails; become the hub through which industry must flow to operate.,KEEP,UNREVIEWED,TBD,NONE,TBD,,
018,Monopoly Engineering,"Intentionally design ""Unfair Advantages"" into code logic and physical logistics.",KEEP,UNREVIEWED,TBD,NONE,TBD,,
019,Scale-Primacy,Growth must be non-linear; doubling output cannot require doubling biological labor.,KEEP,UNREVIEWED,TBD,NONE,TBD,,
020,The 40% Growth Mandate,The minimum acceptable annual growth for any sub-entity or code-module is 40%.,KEEP,UNREVIEWED,TBD,NONE,TBD,,
021,Institutional Security,"Digital black-site standards; every node must operate under zero-trust, hardened protocols.",TECHNICAL,UNREVIEWED,TBD,NONE,TBD,,
022,Ritual Audits,30-day GitHub and Medici Ledger integrity checks are immutable requirements for systemic uptime.,KEEP,UNREVIEWED,TBD,NONE,TBD,,
023,Stealth R&D,"Mask development trajectories from rivals until the ""Apex"" deployment phase.",KEEP,UNREVIEWED,TBD,NONE,TBD,,
024,Information Vacuum,Ingest and index all relevant regional data before competitors identify the signal.,TECHNICAL,UNREVIEWED,TBD,NONE,TBD,,
025,Signal-to-Noise Filter,"Aggressively ignore non-strategic information; focus only on ""Unlimited IQ"" data streams.",TECHNICAL,UNREVIEWED,TBD,NONE,TBD,,
026,Counter-Espionage,Proactively identify and neutralize regulator or competitor drift into the Digital Citadel.,REFRAME,UNREVIEWED,TBD,MANUAL_REVIEW,TBD,,
027,Jurisdiction Shielding,Move IP and liquid assets to safety nodes (UAE/Switzerland) during regional instability.,KEEP,UNREVIEWED,TBD,NONE,TBD,,
028,Encryption Default,All communication between Regency nodes must be lattice-encrypted and ephemeral.,KEEP,UNREVIEWED,TBD,NONE,TBD,,
029,Decoy Ops,"Deploy ""Pivot-Decoys"" to lead competitors into low-margin, resource-heavy dead ends.",KEEP,UNREVIEWED,TBD,NONE,TBD,,
030,Hardened Backups,"Critical logic must exist in 3 physical locations, including off-world/lunar redundancy.",R&D,UNREVIEWED,TBD,NONE,TBD,,
031,Vulnerability Mapping,Weekly automated scans for internal logic leaks or social engineering threats.,KEEP,UNREVIEWED,TBD,NONE,TBD,,
032,Threat Neutralization,Execute proactive legal and commercial strikes against any actor attempting logic-theft.,KEEP,UNREVIEWED,TBD,NONE,TBD,,
033,Social Engineering Defense,The Regency Layer is insulated from direct public contact to prevent emotional manipulation.,REFRAME,UNREVIEWED,TBD,MANUAL_REVIEW,TBD,,
034,Network Sovereignty,Utilize proprietary ISP links and mesh-networks for Citadel-to-Lab communication.,KEEP,UNREVIEWED,TBD,NONE,TBD,,
035,Physical Security,Hardened physical defense of the Jane Furse lab and the solar infrastructure.,KEEP,UNREVIEWED,TBD,NONE,TBD,,
036,Crisis Simulation,"Monthly ""Black Swan"" drills to test systemic recovery under 90% logic failure.",KEEP,UNREVIEWED,TBD,NONE,TBD,,
037,Biological Preservation,"Strategic management of the Imperator's health, sleep, and Alpha-state focus.",KEEP,UNREVIEWED,TBD,NONE,TBD,,
038,Memory Redundancy,Ensure strategic continuity via the Digital Lucas Node's real-time mirroring.,KEEP,UNREVIEWED,TBD,NONE,TBD,,
039,Audit Immutability,All strategic logic logs are written to an internal blockchain-based ledger for historical proof.,KEEP,UNREVIEWED,TBD,NONE,TBD,,
040,The Fortress Wall,"Zero unauthorized entry into the internal Imperial Archive; all breaches trigger a ""Wipe and Rotate"" protocol.",KEEP,UNREVIEWED,TBD,NONE,TBD,,
041,Structural Capture,Own the commerce rails; let competitors build the trains and pay the toll.,KEEP,UNREVIEWED,TBD,NONE,TBD,,
042,Regulatory Capture,Proactively draft regional policies that favor unlisted expansion and submit via Government OS.,KEEP,UNREVIEWED,TBD,NONE,TBD,,
043,Platform Dominance,"Become the regional hub for transactions, labor recruitment, and energy distribution.",KEEP,UNREVIEWED,TBD,NONE,TBD,,
044,Standardized Global Core,"One codebase, many regional ""Skins"" to exploit localized market arbitrage.",KEEP,UNREVIEWED,TBD,NONE,TBD,,
045,Cultural Arbitrage,Use localized dialect (Sepedi) as a form of proprietary metadata and communal trust.,KEEP,UNREVIEWED,TBD,NONE,TBD,,
046,Mythos Alignment,"Brand every strategic move as a natural, eternal law of the universe.",KEEP,UNREVIEWED,TBD,NONE,TBD,,
047,Authority Bias,Establish the Architect’s legend through high-fidelity results rather than traditional PR.,KEEP,UNREVIEWED,TBD,NONE,TBD,,
048,Information Asymmetry,Ensure the Kernel always knows more about the regional terrain than the market does.,TECHNICAL,UNREVIEWED,TBD,NONE,TBD,,
049,Strategic Alliances,"Use Level 2 partners as proxy warriors for high-friction, low-margin expansion.",KEEP,UNREVIEWED,TBD,NONE,TBD,,
050,Veto Power,"The Regency Layer maintains absolute, non-negotiable veto power in all joint-venture structures.",KEEP,UNREVIEWED,TBD,NONE,TBD,,
051,Modular Expansion,Rapid deployment logic; any node must be copy-pasteable into new geographic zones.,KEEP,UNREVIEWED,TBD,NONE,TBD,,
052,Capital Efficiency,"Targeted ratio of ""1 Rand spent to 5 Strategic Outcomes"" in all deployments.",KEEP,UNREVIEWED,TBD,NONE,TBD,,
053,Recursive Refactoring,The system must improve its own code and logic every profit cycle.,KEEP,UNREVIEWED,TBD,NONE,TBD,,
054,Automated Governance,Systemic laws are enforced by code-gatekeepers rather than fallible human managers.,KEEP,UNREVIEWED,TBD,NONE,TBD,,
055,The Medici Strategy,Use internal patronage and credit to ensure absolute loyalty from the partner hive.,KEEP,UNREVIEWED,TBD,NONE,TBD,,
056,Psychological Priming,Condition the consumer base through Cinema OS narrative arcs before a product launch.,KEEP,UNREVIEWED,TBD,NONE,TBD,,
057,Mind-Virus Deployment,Rapid viral spread of linguistic slogans that benefit the Empire’s objectives.,KEEP,UNREVIEWED,TBD,NONE,TBD,,
058,Propaganda Orchestration,Define reality through broadcasting and news-node dominance in SADC regions.,KEEP,UNREVIEWED,TBD,NONE,TBD,,
059,Sentiment Steering,Manipulate market emotions to create asymmetric buying or selling opportunities.,REFRAME,UNREVIEWED,TBD,MANUAL_REVIEW,TBD,,
060,Behavioral Economics,"Nudge user outcomes toward the high-margin ""Imperial Path"" using choice architecture.",KEEP,UNREVIEWED,TBD,NONE,TBD,,
061,Asymmetric Influence,Utilize minority equity stakes to exert majority control over boardroom strategy.,KEEP,UNREVIEWED,TBD,NONE,TBD,,
062,Linguistic Moats,Create proprietary terminology to lock competitors out of high-level strategic discussions.,KEEP,UNREVIEWED,TBD,NONE,TBD,,
063,Archetypal Dominance,Use Jungian imagery in all Interface OS nodes to bypass rational resistance.,KEEP,UNREVIEWED,TBD,NONE,TBD,,
064,Scarcity Engineering,Trigger hyper-velocity in checkout modules through artificial availability logic.,KEEP,UNREVIEWED,TBD,NONE,TBD,,
065,Zero-Latency Tactical,"Direct, automated link between information intelligence and kinetic drone response.",KEEP,UNREVIEWED,TBD,NONE,TBD,,
066,Cost-Extraction,Aggressively drive down 3rd party costs while maintaining high internal premiums.,KEEP,UNREVIEWED,TBD,NONE,TBD,,
067,Third-Space Interface,Create digital and physical zones where the Empire is the sole arbiter of truth.,KEEP,UNREVIEWED,TBD,NONE,TBD,,
068,Systemic Restoration,Prioritize Citadel uptime and logic integrity over short-term optics or PR.,KEEP,UNREVIEWED,TBD,NONE,TBD,,
069,Portfolio Diversification,"Regency wealth must never be tied to a single asset class, currency, or jurisdiction.",KEEP,UNREVIEWED,TBD,NONE,TBD,,
070,Elite Talent Forge,Recruit only Level 2 Titans via automated University OS vetting and ritual testing.,KEEP,UNREVIEWED,TBD,NONE,TBD,,
071,Memetic Engineering,Designing information that self-replicates across the SADC consumer hive.,KEEP,UNREVIEWED,TBD,NONE,TBD,,
072,Ritual-to-Religion,Transitioning SOPs into cultural traditions to ensure multi-generational compliance.,POLICY,UNREVIEWED,TBD,NONE,TBD,,
073,Regional Sentiment Deltation,Tracking the gap between public perception and actual systemic power.,KEEP,UNREVIEWED,TBD,NONE,TBD,,
074,Sovereign Aesthetics,Using design to signal absolute dominance and unassailable quality.,KEEP,UNREVIEWED,TBD,NONE,TBD,,
075,Cognitive Decoupling,Ensuring the Empire’s strategy is not influenced by external media or public opinion.,KEEP,UNREVIEWED,TBD,NONE,TBD,,
076,Incentive Alignment,"All partners must have ""Skin in the Game"" that mirrors the Regency’s risks.",KEEP,UNREVIEWED,TBD,NONE,TBD,,
077,Linguistic Encryption,Using dialect-specific terminology to hide intent from global scrapers.,KEEP,UNREVIEWED,TBD,NONE,TBD,,
078,Mythic Persistence,The legend of the Architect must grow even when the biological node is inactive.,KEEP,UNREVIEWED,TBD,NONE,TBD,,
079,Asymmetric Information Flow,Information moves inward to the Citadel; decoys move outward to the market.,KEEP,UNREVIEWED,TBD,NONE,TBD,,
080,Structural Hardening,"Every contract must contain an ""Imperial Clause"" allowing for automated dispute resolution.",POLICY,UNREVIEWED,TBD,NONE,TBD,,
081,Zero-Touch,Any task requiring manual biological labor more than three times is a system bug.,KEEP,UNREVIEWED,TBD,NONE,TBD,,
082,Recursive Profit,Every cent of profit must fund a system improvement that generates more profit.,KEEP,UNREVIEWED,TBD,NONE,TBD,,
083,Dominance Baseline,Never enter a market unless a path to #1 status is mathematically clear.,KEEP,UNREVIEWED,TBD,NONE,TBD,,
084,Data Sovereignty,No Imperial data may ever reside on a 3rd party server without lattice encryption.,TECHNICAL,UNREVIEWED,TBD,NONE,TBD,,
085,Strategic Silence,Strategic moves are only announced once they are irreversible.,KEEP,UNREVIEWED,TBD,NONE,TBD,,
086,Consumer Hive-Mind,Engineering products that become essential to the daily survival of the consumer.,KEEP,UNREVIEWED,TBD,NONE,TBD,,
087,Jurisdictional Blitzkrieg,Rapid expansion into new countries before local regulators can react.,KEEP,UNREVIEWED,TBD,NONE,TBD,,
088,Automation First,Code is the default solution; biological labor is the last resort.,KEEP,UNREVIEWED,TBD,NONE,TBD,,
089,Internal Credit Primacy,Internal DZC transactions take priority over fiat-based commerce.,KEEP,UNREVIEWED,TBD,NONE,TBD,,
090,Mythic Loyalty,Loyalty is not bought; it is engineered through shared narrative and mythos.,KEEP,UNREVIEWED,TBD,NONE,TBD,,
091,Technical Debt Elimination,Weekly refactoring pass on all core OS modules to maintain 100% efficiency.,KEEP,UNREVIEWED,TBD,NONE,TBD,,
092,Market Bending,Using reflexivity to change market reality to match the Empire's projections.,KEEP,UNREVIEWED,TBD,NONE,TBD,,
093,Recursive Refactoring,The system must continuously improve its own feedback loops and logic gates.,KEEP,UNREVIEWED,TBD,NONE,TBD,,
094,Elite-Track Insulation,Protecting high-value human assets from external market poaching.,KEEP,UNREVIEWED,TBD,NONE,TBD,,
095,Standardized Rituals,Daily audits and logic-syncs are the heartbeat of the Empire.,KEEP,UNREVIEWED,TBD,NONE,TBD,,
096,Sovereign Infrastructure,"Owning the hardware, the software, and the energy that runs them.",TECHNICAL,UNREVIEWED,TBD,NONE,TBD,,
097,Strategic Redundancy,No single point of failure may exist in the 20-layer stack.,KEEP,UNREVIEWED,TBD,NONE,TBD,,
098,Alpha-State Optimization,The environment must be tuned to maintain the Imperator's peak flow.,KEEP,UNREVIEWED,TBD,NONE,TBD,,
099,Post-Human Scaling,Designing the system to run effectively at speeds no human can manage.,KEEP,UNREVIEWED,TBD,NONE,TBD,,
100,The Imperial Standard,100% fidelity to the Codex is the only measure of success.,KEEP,UNREVIEWED,TBD,NONE,TBD,,
101,Vertical Integration,Control the entire value chain from raw Jane Furse minerals to final DZC checkout.,KEEP,UNREVIEWED,TBD,NONE,TBD,,
102,Platform Arbitrage,Using the Empire's scale to extract better terms from global platforms.,KEEP,UNREVIEWED,TBD,NONE,TBD,,
103,Kinetic Response,Physical assets must be protected by autonomous actuator systems.,KEEP,UNREVIEWED,TBD,NONE,TBD,,
104,Contractual Aggression,Every agreement is a weapon to be used in the event of a breach.,KEEP,UNREVIEWED,TBD,NONE,TBD,,
105,Total Transparency,Total visibility for the Regency; total opacity for the market.,KEEP,UNREVIEWED,TBD,NONE,TBD,,
106,Vertical Energy,Ownership of the power source (Solar) is the only way to ensure 100% uptime.,POLICY,UNREVIEWED,TBD,NONE,TBD,,
107,Spectra-Mining,Utilize orbital sensors to locate resources before they are listed on any exchange.,KEEP,UNREVIEWED,TBD,NONE,TBD,,
108,Last-Mile Mastery,"If we do not own the locker or the drone, we do not own the delivery.",KEEP,UNREVIEWED,TBD,NONE,TBD,,
109,Ghost-Node Connectivity,Build decentralized physical points that legacy regulators cannot easily track.,KEEP,UNREVIEWED,TBD,NONE,TBD,,
110,Corridor Sovereignty,Control the SADC rail and road chokepoints through logistical and digital dominance.,KEEP,UNREVIEWED,TBD,NONE,TBD,,
111,Bore-hole Independence,Secure independent water sources for all terrestrial and lab nodes.,KEEP,UNREVIEWED,TBD,NONE,TBD,,
112,Solar Excess,Any energy surplus must be converted into digital hash-rate or internal equity.,KEEP,UNREVIEWED,TBD,NONE,TBD,,
113,E-waste Refinery,Extract strategic metals from legacy tech to fund internal hardware development.,TECHNICAL,UNREVIEWED,TBD,NONE,TBD,,
114,Modular Construction,Jane Furse lab extensions must be 3D-printable or modular for rapid deployment.,KEEP,UNREVIEWED,TBD,NONE,TBD,,
115,Zoning Capture,Aggressively acquire land adjacent to municipal development paths before they are public.,KEEP,UNREVIEWED,TBD,NONE,TBD,,
116,Sub-Surface Hardening,Critical physical infrastructure must reside underground to survive surface conflict.,KEEP,UNREVIEWED,TBD,NONE,TBD,,
117,Hardware Self-Sufficiency,Capability to manufacture core actuators and sensors within the Jane Furse lab.,KEEP,UNREVIEWED,TBD,NONE,TBD,,
