source_id,source_name,dependency_raw,dependency_normalized,dependency_kind,target_id,target_name
001,Banking OS,Identity OS,identity,CANONICAL_OS,042,Identity OS
001,Banking OS,Access-Control OS,access control,CANONICAL_OS,043,Access-Control OS
001,Banking OS,Audit-Vigil OS,audit vigil,CANONICAL_OS,006,Audit-Vigil OS
002,Vault-OS,Security OS,security,CANONICAL_OS,038,Security OS
002,Vault-OS,Encryption OS,encryption,CANONICAL_OS,040,Encryption OS
002,Vault-OS,Audit-Vigil OS,audit vigil,CANONICAL_OS,006,Audit-Vigil OS
003,Tax-OS,Compliance OS,compliance,CANONICAL_OS,046,Compliance OS
003,Tax-OS,Records OS,records,CANONICAL_OS,269,Records OS
003,Tax-OS,Banking OS,banking,CANONICAL_OS,001,Banking OS
004,Currency-Forge OS,Compliance OS,compliance,CANONICAL_OS,046,Compliance OS
004,Currency-Forge OS,Legal-Bot OS,legal bot,CANONICAL_OS,047,Legal-Bot OS
004,Currency-Forge OS,Medici-Ledger OS,medici ledger,CANONICAL_OS,017,Medici-Ledger OS
005,Investment-Sweep OS,Capital-Allocation OS,capital allocation,CANONICAL_OS,008,Capital-Allocation OS
005,Investment-Sweep OS,Audit-Vigil OS,audit vigil,CANONICAL_OS,006,Audit-Vigil OS
005,Investment-Sweep OS,Liquidity-Pool OS,liquidity pool,CANONICAL_OS,010,Liquidity-Pool OS
006,Audit-Vigil OS,Medici-Ledger OS,medici ledger,CANONICAL_OS,017,Medici-Ledger OS
006,Audit-Vigil OS,Records OS,records,CANONICAL_OS,269,Records OS
006,Audit-Vigil OS,Monitoring OS,monitoring,CANONICAL_OS,033,Monitoring OS
007,Profit-Extraction OS,Capital-Allocation OS,capital allocation,CANONICAL_OS,008,Capital-Allocation OS
007,Profit-Extraction OS,Records OS,records,CANONICAL_OS,269,Records OS
007,Profit-Extraction OS,Audit-Vigil OS,audit vigil,CANONICAL_OS,006,Audit-Vigil OS
008,Capital-Allocation OS,Audit-Vigil OS,audit vigil,CANONICAL_OS,006,Audit-Vigil OS
008,Capital-Allocation OS,Investment-Sweep OS,investment sweep,CANONICAL_OS,005,Investment-Sweep OS
008,Capital-Allocation OS,Risk Governance,risk governance,PLATFORM_PRIMITIVE,,
009,Equity-Capture OS,Contract OS,contract,CANONICAL_OS,048,Contract OS
009,Equity-Capture OS,Records OS,records,CANONICAL_OS,269,Records OS
009,Equity-Capture OS,Compliance OS,compliance,CANONICAL_OS,046,Compliance OS
010,Liquidity-Pool OS,Banking OS,banking,CANONICAL_OS,001,Banking OS
010,Liquidity-Pool OS,Capital-Allocation OS,capital allocation,CANONICAL_OS,008,Capital-Allocation OS
010,Liquidity-Pool OS,Audit-Vigil OS,audit vigil,CANONICAL_OS,006,Audit-Vigil OS
011,Asset-Harden OS,Capital-Allocation OS,capital allocation,CANONICAL_OS,008,Capital-Allocation OS
011,Asset-Harden OS,Records OS,records,CANONICAL_OS,269,Records OS
011,Asset-Harden OS,Compliance OS,compliance,CANONICAL_OS,046,Compliance OS
012,Director-Loan OS,Tax-OS,tax,CANONICAL_OS,003,Tax-OS
012,Director-Loan OS,Contract OS,contract,CANONICAL_OS,048,Contract OS
012,Director-Loan OS,Records OS,records,CANONICAL_OS,269,Records OS
013,Offshore-Shield OS,Jurisdiction OS,jurisdiction,CANONICAL_OS,045,Jurisdiction OS
013,Offshore-Shield OS,Compliance OS,compliance,CANONICAL_OS,046,Compliance OS
013,Offshore-Shield OS,Tax-OS,tax,CANONICAL_OS,003,Tax-OS
014,Fiat-Hedge OS,Banking OS,banking,CANONICAL_OS,001,Banking OS
014,Fiat-Hedge OS,Capital-Allocation OS,capital allocation,CANONICAL_OS,008,Capital-Allocation OS
014,Fiat-Hedge OS,Compliance OS,compliance,CANONICAL_OS,046,Compliance OS
015,Credit-Score OS,Banking OS,banking,CANONICAL_OS,001,Banking OS
015,Credit-Score OS,Records OS,records,CANONICAL_OS,269,Records OS
015,Credit-Score OS,Compliance OS,compliance,CANONICAL_OS,046,Compliance OS
016,Debt-Weaponization OS,Capital-Allocation OS,capital allocation,CANONICAL_OS,008,Capital-Allocation OS
016,Debt-Weaponization OS,Contract OS,contract,CANONICAL_OS,048,Contract OS
016,Debt-Weaponization OS,Compliance OS,compliance,CANONICAL_OS,046,Compliance OS
017,Medici-Ledger OS,Records OS,records,CANONICAL_OS,269,Records OS
017,Medici-Ledger OS,Audit-Vigil OS,audit vigil,CANONICAL_OS,006,Audit-Vigil OS
017,Medici-Ledger OS,Identity OS,identity,CANONICAL_OS,042,Identity OS
017,Medici-Ledger OS,Access-Control OS,access control,CANONICAL_OS,043,Access-Control OS
018,Wealth-Persistence OS,Capital-Allocation OS,capital allocation,CANONICAL_OS,008,Capital-Allocation OS
018,Wealth-Persistence OS,Asset-Harden OS,asset harden,CANONICAL_OS,011,Asset-Harden OS
018,Wealth-Persistence OS,Records OS,records,CANONICAL_OS,269,Records OS
019,Arbitrage OS,Market data integrations,market data integrations,EXTERNAL_DEPENDENCY,,
019,Arbitrage OS,Capital-Allocation OS,capital allocation,CANONICAL_OS,008,Capital-Allocation OS
019,Arbitrage OS,Compliance OS,compliance,CANONICAL_OS,046,Compliance OS
020,War-Chest OS,Vault-OS,vault,CANONICAL_OS,002,Vault-OS
020,War-Chest OS,Audit-Vigil OS,audit vigil,CANONICAL_OS,006,Audit-Vigil OS
020,War-Chest OS,Capital-Allocation OS,capital allocation,CANONICAL_OS,008,Capital-Allocation OS
021,Crown OS,Pillars OS,pillars,PLATFORM_PRIMITIVE,,
021,Crown OS,Algorithm OS,algorithm,PLATFORM_PRIMITIVE,,
021,Crown OS,Audit-Vigil OS,audit vigil,CANONICAL_OS,006,Audit-Vigil OS
022,Architect OS,Crown OS,crown,CANONICAL_OS,021,Crown OS
022,Architect OS,Identity OS,identity,CANONICAL_OS,042,Identity OS
022,Architect OS,Access-Control OS,access control,CANONICAL_OS,043,Access-Control OS
022,Architect OS,Audit-Vigil OS,audit vigil,CANONICAL_OS,006,Audit-Vigil OS
023,Regency OS,Crown OS,crown,CANONICAL_OS,021,Crown OS
