canonical_id,name,domain,owner,priority,implementation_type,security_level,dependencies,disposition,roadmap_phase
001,Banking OS,Finance & Capital,Finance Platform,P1,INTEGRATION,HIGH,Identity OS;Access-Control OS;Audit-Vigil OS,REFRAME,8
002,Vault-OS,Finance & Capital,Treasury Governance,P1,SHARED_SERVICE,CRITICAL,Security OS;Encryption OS;Audit-Vigil OS,REFRAME,8
003,Tax-OS,Finance & Capital,Tax & Finance Governance,P1,SHARED_SERVICE,HIGH,Compliance OS;Records OS;Banking OS,REFRAME,8
004,Currency-Forge OS,Payments & Billing,Finance Governance,R&D,R&D,CRITICAL,Compliance OS;Legal-Bot OS;Medici-Ledger OS,R&D,18
005,Investment-Sweep OS,Finance & Capital,Treasury Governance,P2,AUTOMATION,HIGH,Capital-Allocation OS;Audit-Vigil OS;Liquidity-Pool OS,REFRAME,12
006,Audit-Vigil OS,Governance & Audit,Finance Governance,P0,SHARED_SERVICE,CRITICAL,Medici-Ledger OS;Records OS;Monitoring OS,KEEP,5
007,Profit-Extraction OS,Finance & Capital,Finance Governance,P2,POLICY,HIGH,Capital-Allocation OS;Records OS;Audit-Vigil OS,REFRAME,12
008,Capital-Allocation OS,Finance & Capital,Capital Allocation,P1,SHARED_SERVICE,HIGH,Audit-Vigil OS;Investment-Sweep OS;Risk Governance,KEEP,8
009,Equity-Capture OS,Finance & Capital,Corporate Governance,P2,SHARED_SERVICE,HIGH,Contract OS;Records OS;Compliance OS,REFRAME,12
010,Liquidity-Pool OS,Finance & Capital,Treasury Governance,P2,SHARED_SERVICE,CRITICAL,Banking OS;Capital-Allocation OS;Audit-Vigil OS,REFRAME,12
011,Asset-Harden OS,Finance & Capital,Capital Allocation,P3,POLICY,HIGH,Capital-Allocation OS;Records OS;Compliance OS,REFRAME,15
012,Director-Loan OS,Finance & Capital,Finance Governance,P3,POLICY,HIGH,Tax-OS;Contract OS;Records OS,REFRAME,15
013,Offshore-Shield OS,Finance & Capital,Legal & Finance Governance,P3,POLICY,CRITICAL,Jurisdiction OS;Compliance OS;Tax-OS,REFRAME,15
014,Fiat-Hedge OS,Finance & Capital,Treasury Governance,P2,SHARED_SERVICE,CRITICAL,Banking OS;Capital-Allocation OS;Compliance OS,REFRAME,12
015,Credit-Score OS,Finance & Capital,Risk Governance,P2,DATA_PRODUCT,HIGH,Banking OS;Records OS;Compliance OS,REFRAME,12
016,Debt-Weaponization OS,Finance & Capital,Risk Governance,P3,RETIRED_REFRAMED,HIGH,Capital-Allocation OS;Contract OS;Compliance OS,REFRAME,15
