pillar_id,name,source_statement,suggested_classification,approved_classification,implementation_domain,safety_action,owner,canonical_interpretation,decision_notes
001,Automated API Split,"Mandatory 40/40/20 sweep of all incoming capital: 40% to high-growth R&D, 40% to the Fortress Vault, 20% for operational oxygen.",POLICY,POLICY,Finance / Treasury,NONE,Finance Governance,"Use 40/40/20 as a configurable treasury allocation target subject to cash-flow requirements, legal obligations, risk limits, and approved exceptions.",Preserves the allocation concept without treating a fixed ratio as universally mandatory.
002,Outsider DNA,Explicitly reject traditional competitive routes; utilize asymmetric entry points where incumbents cannot pivot.,KEEP,KEEP,Strategy,NONE,Executive Governance,"Prefer differentiated, evidence-based market-entry strategies over mechanically copying incumbent competitive routes.",Strategic differentiation is retained.
003,Fiscal Weaponization,Capital is not for savings; it is a kinetic force used to crush market friction and acquire chokepoints.,POLICY,REFRAME,Finance / Strategy,CANONICAL_REFRAME,Capital Allocation,"Deploy capital to reduce customer and operational friction and build lawful strategic capabilities. Capital must not be used for coercion, sabotage, or unlawful exclusion.",Replaces adversarial weaponization language with disciplined strategic capital deployment.
004,Capital Compounding,"Apply the 8th wonder principle to code modules and network effects, ensuring growth is recursive.",TECHNICAL,KEEP,Platform / Capital,NONE,Platform Strategy,"Compound reusable software, data, distribution, operating knowledge, and network effects through disciplined reinvestment.",Directly compatible with the Dalizebo platform model.
005,Liquidity Primacy,"In high-volatility environments (ZAR), cash and liquid assets are the primary offensive tools for distressed asset acquisition.",KEEP,POLICY,Treasury / Risk,NONE,Treasury,Maintain sufficient liquidity and risk reserves to preserve optionality and pursue approved distressed or strategic opportunities.,Liquidity principle retained under formal risk governance.
006,Asset Hardening,"Systematically transition digital profits into physical atoms—Jane Furse land, solar arrays, and mineral rights.",KEEP,POLICY,Treasury / Assets,NONE,Capital Allocation,"Diversify retained earnings into productive physical assets only after liquidity, legal, environmental, valuation, and investment due diligence.",Physical asset diversification retained with investment controls.
007,Portfolio Asymmetry,Only engage in bets with capped downside and 10x-to-100x theoretical upside.,KEEP,POLICY,Risk,NONE,Risk Governance,"Prefer opportunities with explicitly bounded downside and asymmetric upside, supported by scenario analysis, exposure limits, and exit criteria.",Makes asymmetric investing measurable and governed.
008,War-Chest Preservation,Zero-leakage protocol; every operational cent must be audited against systemic ROI on a weekly basis.,KEEP,POLICY,Finance / Audit,NONE,Finance Governance,"Protect strategic reserves through budget controls, traceable expenditure, periodic ROI review, reconciliation, and independent audit evidence.",Zero-leakage becomes auditable financial governance.
009,Yield Optimization,Maximize regional ROI by bypassing all 3rd party middleman fees in SADC commerce.,KEEP,REFRAME,Platform / Procurement,CANONICAL_REFRAME,Platform Economics,"Reduce avoidable intermediary costs through direct integrations, owned capabilities, competitive procurement, and automation without bypassing legally or operationally required intermediaries.",Vendor independence is retained without blanket middleman bypass.
010,Arbitrage Mastery,"Identify and exploit price, time, and jurisdiction gaps across the Empire's global nodes.",KEEP,REFRAME,Markets / Finance,CANONICAL_REFRAME,Risk Governance,"Identify lawful market, timing, pricing, and geographic arbitrage opportunities subject to tax, regulatory, liquidity, and risk controls.",Arbitrage remains legitimate only within applicable law and risk policy.
011,Economic Moat Construction,Every new subsidiary must build a technical or regulatory moat within 90 days of initialization.,KEEP,REFRAME,Corporate Strategy,CANONICAL_REFRAME,Executive Governance,"Each new subsidiary should establish a lawful and defensible advantage through technology, service, brand, distribution, data, efficiency, or approved regulatory capability, with early validation.",Regulatory moat language is constrained to legitimate competitive advantage.
012,Capital Reinvestment,Profit is fuel; recursive reinvestment into automation takes priority over Regency dividends.,TECHNICAL,POLICY,Capital Allocation,NONE,Finance Governance,"Prioritize reinvestment into validated automation and growth opportunities while maintaining solvency, contractual obligations, reserves, and approved distributions.",Recursive reinvestment retained with financial safeguards.
013,Director-Loan Recycling,Utilize internal lending structures to fund R&D with 0% tax drag and maximum capital velocity.,POLICY,REFRAME,Finance / Tax,CANONICAL_REFRAME,Finance Governance,"Use documented arm's-length director or intercompany lending only where legally, tax, accounting, exchange-control, and governance compliant.",The platform must never promise or engineer guaranteed zero-tax treatment.
014,Fiat Hedging,Absolute decoupling from the Rand; utilize Gold-backed Dalizebo Credits (DZC) for internal value storage.,KEEP,REFRAME,Treasury,CANONICAL_REFRAME,Treasury,"Diversify material ZAR exposure using approved and regulated treasury instruments. Any Dalizebo Credits mechanism must satisfy applicable payments, securities, tax, consumer, and financial regulation before production use.",Removes absolute currency decoupling while retaining treasury resilience.
015,Equity Capture,Prioritize ownership and equity over employment or commission-based models in all partnerships.,POLICY,POLICY,Corporate Development,NONE,Executive Governance,"Prefer ownership structures that improve long-term alignment and value creation where justified by valuation, governance, risk, and diversification considerations.",Equity remains a strategic preference rather than an absolute rule.
016,Resource Primacy,"Direct control over raw inputs—energy generation, data streams, and mineral rights.",TECHNICAL,POLICY,Supply Chain / Infrastructure,NONE,Operations Governance,"Reduce dependency on strategically critical inputs using ownership, long-term contracts, redundancy, alternative suppliers, or trusted infrastructure.",Direct control becomes dependency-risk management.
017,Toll-Gate Extraction,Monetize competitor rails; become the hub through which industry must flow to operate.,KEEP,REFRAME,Platform Strategy,CANONICAL_REFRAME,Platform Governance,"Build interoperable platform infrastructure that creates recurring value through useful services, transaction rails, integrations, and fair commercial access.",Retains platform economics while rejecting coercive toll-gate behavior.
018,Monopoly Engineering,"Intentionally design ""Unfair Advantages"" into code logic and physical logistics.",KEEP,REFRAME,Strategy / Product,CANONICAL_REFRAME,Platform Strategy,"Engineer defensible advantages through superior products, automation, data, logistics, customer experience, distribution, and execution rather than unlawful exclusion.",Unfair advantage becomes lawful defensibility.
019,Scale-Primacy,Growth must be non-linear; doubling output cannot require doubling biological labor.,KEEP,KEEP,Architecture,NONE,Platform Architecture,"Design systems so output and transaction capacity can scale materially faster than manual headcount through automation, standardization, reusable services, and software leverage.",Directly supports SaaS and BaaS scalability.
020,The 40% Growth Mandate,The minimum acceptable annual growth for any sub-entity or code-module is 40%.,KEEP,REFRAME,Growth Governance,CANONICAL_REFRAME,Executive Governance,"Use 40 percent annual growth as an aspirational benchmark where commercially appropriate, with sustainable risk-adjusted growth and unit economics taking precedence over arbitrary expansion.",A fixed growth mandate must not force unsafe or uneconomic decisions.
021,Institutional Security,"Digital black-site standards; every node must operate under zero-trust, hardened protocols.",TECHNICAL,TECHNICAL,Security,MODERNIZE,Security Architecture,"Apply zero-trust architecture, hardened baselines, least privilege, segmentation, secrets management, continuous monitoring, vulnerability management, and incident response across every production node.",Retains the zero-trust intent while replacing black-site terminology.
022,Ritual Audits,30-day GitHub and Medici Ledger integrity checks are immutable requirements for systemic uptime.,KEEP,TECHNICAL,Audit / DevSecOps,NONE,Security Engineering,"Perform scheduled source-control, ledger, dependency, backup, configuration, and integrity audits at least monthly where justified by system risk.",Turns ritual audits into automated evidence-producing controls.
